subset,model,n,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision
platform_facebook,full_mlp_seed44,704,0.8267045454545454,0.7586272944932162,0.7732838589981448,0.765343591536982,0.8739641311069883,0.7104278007062553
platform_facebook,tfidf_lr,704,0.7414772727272727,0.6810951508724573,0.7323438466295609,0.6903774587985114,0.833771855849778,0.6439000979858593
platform_facebook,feature_concat_seed42,704,0.8210227272727273,0.7511359404096833,0.7653679653679654,0.7576499388004896,0.8685556867375049,0.6607505633519394
platform_facebook,feature_concat_seed43,704,0.8224431818181818,0.7532209170140205,0.7705009276437849,0.7609780344245953,0.8716478326867937,0.6589135098486751
platform_facebook,feature_concat_seed44,704,0.8224431818181818,0.7544875682231655,0.7831168831168831,0.7663247395715777,0.8789003204587621,0.6810548300223062
platform_facebook,healnet2024_seed42,704,0.8167613636363636,0.7448027718550106,0.7478664192949906,0.7463063063063062,0.8488559059987631,0.6503570083347574
platform_facebook,healnet2024_seed43,704,0.8139204545454546,0.7414772727272727,0.7523191094619666,0.7465308220213441,0.8654691628717603,0.6734270214110257
platform_facebook,healnet2024_seed44,704,0.8110795454545454,0.7384004884004884,0.754669140383426,0.7456806286277695,0.8707314330690954,0.6746107429612125
platform_instagram,indobert,877,0.927023945267959,0.9226954884690379,0.9205183946488293,0.9215835298588368,0.9681661092530658,0.9771097615536715
platform_instagram,indobertweet,877,0.9122006841505131,0.9053267581856146,0.9068450390189521,0.9060731369088104,0.9750836120401337,0.9843641661174276
platform_instagram,mbert,877,0.8494868871151653,0.8403235673985453,0.8348829431438127,0.8374119391916945,0.9183528428093646,0.9468340700798931
platform_instagram,transcript,877,0.9224629418472063,0.9157204829410268,0.9187931995540691,0.9172053400861877,0.9757497212931997,0.9844871935245438
platform_instagram,visual,877,0.37058152793614596,0.18529076396807298,0.5,0.2703826955074875,0.5,0.629418472063854
platform_instagram,text_mean,877,0.927023945267959,0.9259537809380556,0.9167224080267559,0.9209553853086976,0.975,0.98348734480195
platform_instagram,text_lr,877,0.9258836944127709,0.9232585896754195,0.9170819397993311,0.9199912980624154,0.9780657748049053,0.9864327433775383
platform_instagram,text_speech_lr,877,0.928164196123147,0.9257390458304579,0.919526198439242,0.9224531042758795,0.9788461538461539,0.9869262415754683
platform_instagram,text_visual_lr,877,0.9258836944127709,0.9232585896754195,0.9170819397993311,0.9199912980624154,0.9780434782608696,0.9864221126737969
platform_instagram,speech_visual_lr,877,0.9224629418472063,0.9157204829410268,0.9187931995540691,0.9172053400861877,0.9764855072463768,0.9852338325360166
platform_instagram,full_lr,877,0.927023945267959,0.9247785104117101,0.9179877369007804,0.9211694250626398,0.9788238573021182,0.9869134615767721
platform_instagram,text_mlp_seed42,877,0.9247434435575826,0.9212229607931501,0.9168088071348941,0.9189218718483158,0.9776811594202899,0.9861912173387278
platform_instagram,full_mlp_seed42,877,0.9315849486887116,0.9286333934204596,0.9241415830546265,0.9262926107711962,0.977263099219621,0.9858203336709033
platform_instagram,text_mlp_seed43,877,0.9258836944127709,0.9238200589970501,0.9164492753623188,0.919883799535929,0.9771571906354516,0.9857288823476884
platform_instagram,full_mlp_seed43,877,0.9258836944127709,0.9232585896754195,0.9170819397993311,0.9199912980624154,0.9772017837235228,0.9856141406847668
platform_instagram,text_mlp_seed44,877,0.927023945267959,0.9236931050022532,0.9192530657748049,0.9213787848226092,0.9772686733556298,0.985642143225895
platform_instagram,full_mlp_seed44,877,0.9304446978335233,0.9276664635934926,0.922603121516165,0.9250146825280019,0.9761482720178373,0.9846152674758308
platform_instagram,tfidf_lr,877,0.8369441277080958,0.824525390791834,0.8388377926421404,0.8294361414059812,0.9260200668896321,0.9524336643038868
platform_instagram,feature_concat_seed42,877,0.9247434435575826,0.9260537790697674,0.911747491638796,0.9180290258989872,0.9677424749163879,0.9773678336735858
